"mni_no","case_no","booking_no","arresting_agency","booking_date","release_date","bail_type","bail_amt"
"000488544","09CR03128",10000005,OLATHE P.D.,2010-01-01 00:00:00,2010-05-23 00:00:00,PR,7500.00
"000167776","10DV00011",10000008,GARDNER P.D.,2010-01-01 00:00:00,2010-01-04 00:00:00,SUR,5000.00
"000594130","10CR00011",10000010,SHAWNEE P.D.,2010-01-01 00:00:00,2010-01-02 00:00:00,SUR,6000.00
"000082738","10DV00004",10000017,OVERLAND PARK P.D.,2010-01-01 00:00:00,2010-01-02 00:00:00,SUR,1500.00
"000481746","10DV00013",10000020,OLATHE P.D.,2010-01-01 00:00:00,2010-01-05 00:00:00,SUR,15000.00
"000594134","10DV00002",10000023,OVERLAND PARK P.D.,2010-01-01 00:00:00,2010-01-02 00:00:00,PR,1500.00
"000524771","10DV00003",10000028,OVERLAND PARK P.D.,2010-01-01 00:00:00,2010-01-02 00:00:00,CA,1500.00
"000457048","10CR00037",10000030,OLATHE P.D.,2010-01-01 00:00:00,2010-02-20 00:00:00,,
"000369139","10CR00010",10000033,LENEXA P.D.,2010-01-01 00:00:00,2010-01-14 00:00:00,CA,5000.00
"000587893","10DV00245",10000034,OLATHE P.D.,2010-01-01 00:00:00,2010-04-20 00:00:00,,
"000530339","10DV00008",10000036,SHAWNEE P.D.,2010-01-01 00:00:00,2010-01-20 00:00:00,PR,10000.00
"000531708","10CR00392",10000037,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-01 00:00:00,2011-04-22 00:00:00,,
"000110321","09CR02898",10000041,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-01 00:00:00,2010-01-14 00:00:00,SUR,7500.00
"000486134","10DV00009",10000042,OVERLAND PARK P.D.,2010-01-01 00:00:00,2010-01-04 00:00:00,PR,2500.00
"000182469","10DV00006",10000046,OLATHE P.D.,2010-01-01 00:00:00,2010-03-16 00:00:00,PR,15000.00
"000424447","10CR00002",10000056,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-02 00:00:00,2010-02-20 00:00:00,,
"000594145","10CR00009",10000059,LENEXA P.D.,2010-01-02 00:00:00,2010-01-02 00:00:00,PR,1500.00
"000470702","10CR00008",10000060,OLATHE P.D.,2010-01-02 00:00:00,2010-01-02 00:00:00,SUR,7500.00
"000546870","10DV00014",10000072,SHAWNEE P.D.,2010-01-02 00:00:00,2010-01-04 00:00:00,SUR,2500.00
"000366140","10CR00015",10000081,OVERLAND PARK P.D.,2010-01-02 00:00:00,2010-01-04 00:00:00,SUR,7500.00
"000272057","10DV00015",10000089,OVERLAND PARK P.D.,2010-01-03 00:00:00,2010-01-04 00:00:00,SUR,2500.00
"000594161","10CR00014",10000103,MISSION P.D.,2010-01-04 00:00:00,2010-01-05 00:00:00,SUR,1500.00
"000426039","10CR00016",10000105,OVERLAND PARK P.D.,2010-01-04 00:00:00,2010-01-04 00:00:00,CA,2500.00
"000105794","09CR03155",10000107,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-04 00:00:00,2011-11-21 00:00:00,,
"000088251","09DV01666",10000115,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-04 00:00:00,2010-01-04 00:00:00,CA,2000.00
"000458714","10CR00022",10000136,LENEXA P.D.,2010-01-04 00:00:00,2010-01-05 00:00:00,SUR,100000.00
"000076733","09CR02686",10000142,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-04 00:00:00,2010-01-04 00:00:00,CA,250.00
"000565412","09CR02616",10000143,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-04 00:00:00,2010-03-04 00:00:00,,
"000432832","09DV01625",10000147,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-04 00:00:00,2010-01-04 00:00:00,PR,1000.00
"000144062","10DV00018",10000150,OVERLAND PARK P.D.,2010-01-04 00:00:00,2010-01-05 00:00:00,PR,2000.00
"000594249","10DV00019",10000156,OVERLAND PARK P.D.,2010-01-05 00:00:00,2010-01-05 00:00:00,PR,2000.00
"000594250","10DV00017",10000157,OLATHE P.D.,2010-01-05 00:00:00,2010-02-08 00:00:00,,
"000587249","09CR02611",10000164,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-05 00:00:00,2010-01-05 00:00:00,SUR,10000.00
"000003704","09CR02057",10000171,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-05 00:00:00,2010-01-05 00:00:00,SUR,250.00
"000453205","09CR03117",10000177,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-05 00:00:00,2010-01-13 00:00:00,SUR,2500.00
"000594345","10DV00022",10000179,MERRIAM P.D.,2010-01-05 00:00:00,2010-01-06 00:00:00,PR,1000.00
"000594346","10CR00026",10000180,ROELAND PARK P.D.,2010-01-05 00:00:00,2010-04-02 00:00:00,PR,0.00
"000277909","09DV01631",10000183,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-05 00:00:00,2010-01-06 00:00:00,SUR,2000.00
"000587059","10DV00023",10000202,OVERLAND PARK P.D.,2010-01-06 00:00:00,2010-01-06 00:00:00,SUR,1000.00
"000458331","10CR00017",10000205,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-06 00:00:00,2010-01-07 00:00:00,PR,5000.00
"000275787","09CR03133",10000206,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-06 00:00:00,2010-01-06 00:00:00,SUR,2500.00
"000460357","09CR00026",10000212,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-06 00:00:00,2010-01-06 00:00:00,CA,250.00
"000289296","09DV01594",10000220,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-06 00:00:00,2010-01-15 00:00:00,SUR,2000.00
"000578292","10DV00028",10000230,OVERLAND PARK P.D.,2010-01-06 00:00:00,2010-01-07 00:00:00,SUR,1000.00
"000594415","10DV00029",10000232,OVERLAND PARK P.D.,2010-01-06 00:00:00,2010-01-07 00:00:00,SUR,1000.00
"000263648","10CR00031",10000238,LENEXA P.D.,2010-01-06 00:00:00,2010-04-19 00:00:00,PR,5000.00
"000532534","10DV00030",10000239,LENEXA P.D.,2010-01-06 00:00:00,2010-01-07 00:00:00,SUR,1500.00
"000569537","10DV00031",10000240,LENEXA P.D.,2010-01-07 00:00:00,2010-01-07 00:00:00,SUR,3000.00
"000542262","10DV00027",10000241,OLATHE P.D.,2010-01-07 00:00:00,2010-01-14 00:00:00,PR,2000.00
"000594422","10DV00026",10000242,OLATHE P.D.,2010-01-07 00:00:00,2010-01-07 00:00:00,PR,1000.00
"000007365","10CR00038",10000248,MISSION P.D.,2010-01-07 00:00:00,2010-01-08 00:00:00,SUR,10000.00
"000311406","09CR03130",10000251,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-07 00:00:00,2010-01-07 00:00:00,SUR,1000.00
"000594454","10DV00033",10000255,LENEXA P.D.,2010-01-07 00:00:00,2010-01-08 00:00:00,PR,1000.00
"000506582","09DV01629",10000264,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-07 00:00:00,2010-01-07 00:00:00,SUR,2000.00
"000453125","10CR00036",10000274,OLATHE P.D.,2010-01-07 00:00:00,2010-01-08 00:00:00,PR,2500.00
"000594472","10CR00034",10000276,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-07 00:00:00,2010-08-24 00:00:00,,
"000463962","09CR01710",10000278,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-07 00:00:00,2010-05-24 00:00:00,,
"000594411","10CR00029",10000279,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-07 00:00:00,2010-02-05 00:00:00,SUR,5000.00
"000368835","09CR02329",10000280,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-07 00:00:00,2010-04-12 00:00:00,,
"000427490","09CR01855",10000288,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-08 00:00:00,2010-01-08 00:00:00,SUR,3500.00
"000587905","10DV00034",10000289,OVERLAND PARK P.D.,2010-01-08 00:00:00,2010-02-08 00:00:00,,
"000527023","10DV00038",10000292,OLATHE P.D.,2010-01-08 00:00:00,2010-01-09 00:00:00,PR,1000.00
"000421196","10CR00032",10000308,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-08 00:00:00,2010-01-21 00:00:00,SUR,5000.00
"000278894","10DV00036",10000348,OLATHE P.D.,2010-01-09 00:00:00,2010-01-21 00:00:00,SUR,1500.00
"000267306","10DV00039",10000350,OVERLAND PARK P.D.,2010-01-09 00:00:00,2010-01-09 00:00:00,SUR,1000.00
"000280618","10DV00037",10000352,OVERLAND PARK P.D.,2010-01-09 00:00:00,2010-01-10 00:00:00,SUR,2500.00
"000354419","10DV00040",10000356,OLATHE P.D.,2010-01-09 00:00:00,2010-01-14 00:00:00,SUR,2000.00
"000392611","09CR02587",10000361,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-09 00:00:00,2010-11-16 00:00:00,,
"000490243","10CR00041",10000366,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-09 00:00:00,2010-02-12 00:00:00,ORCD,0.00
"000427546","10CR00040",10000368,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-09 00:00:00,2010-01-11 00:00:00,SUR,10000.00
"000593500","10DV00021",10000369,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-09 00:00:00,2010-01-09 00:00:00,PR,2000.00
"000299836","10DV00046",10000375,OVERLAND PARK P.D.,2010-01-10 00:00:00,2010-01-11 00:00:00,SUR,5000.00
"000560728","10DV00047",10000377,OVERLAND PARK P.D.,2010-01-10 00:00:00,2010-01-11 00:00:00,PR,1500.00
"000594532","10CR00682",10000378,ROELAND PARK P.D.,2010-01-10 00:00:00,2010-01-11 00:00:00,CA,10000.00
"000378596","10CR00047",10000380,OLATHE P.D.,2010-01-10 00:00:00,2010-04-15 00:00:00,,
"000504029","10DV00042",10000385,OLATHE P.D.,2010-01-10 00:00:00,2010-01-11 00:00:00,PR,1000.00
"000594534","10CR00045",10000387,LENEXA P.D.,2010-01-10 00:00:00,2010-02-14 00:00:00,SUR,25000.00
"000360076","10CR00046",10000390,SHAWNEE P.D.,2010-01-10 00:00:00,2011-06-04 00:00:00,,
"000366846","10CR00044",10000391,OVERLAND PARK P.D.,2010-01-10 00:00:00,2010-01-11 00:00:00,SUR,7500.00
"000185448","10DV00043",10000393,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-10 00:00:00,2010-01-11 00:00:00,ORCD,1000.00
"000566477","09CR00714",10000398,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-10 00:00:00,2010-08-17 00:00:00,,
"000594542","10DV00044",10000400,OLATHE P.D.,2010-01-10 00:00:00,2010-01-11 00:00:00,PR,1000.00
"000538386","10DV00045",10000402,OLATHE P.D.,2010-01-11 00:00:00,2010-01-11 00:00:00,SUR,3500.00
"000594543","10CR00043",10000404,OLATHE P.D.,2010-01-11 00:00:00,2010-04-15 00:00:00,PR,10000.00
"000594544","10CR00042",10000405,OLATHE P.D.,2010-01-11 00:00:00,2010-01-12 00:00:00,SUR,10000.00
"000489524","05CR02145",10000406,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-11 00:00:00,2010-01-11 00:00:00,CA,250.00
"000365628","10DV00048",10000407,SHAWNEE P.D.,2010-01-11 00:00:00,2010-01-11 00:00:00,SUR,1000.00
"000510482","09CR03147",10000413,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-11 00:00:00,2010-04-19 00:00:00,,
"000369584","09CR02626",10000416,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-11 00:00:00,2010-01-11 00:00:00,SUR,5000.00
"000539940","10DV00049",10000440,OVERLAND PARK P.D.,2010-01-11 00:00:00,2010-01-12 00:00:00,PR,1500.00
